string,pred
750 g freshly squeezed lime juice,lime juice
"750 g ginger beer, room temperature",ginger beer
750 g grapefruit liqueur,grapefruit liqueur
750 g heavy cream,heavy cream
750 g honey syrup,honey syrup
750 g irish whiskey,whiskey whiskey
"750 g large lime juice, fresh",lime juice
750 g lavender simple syrup,simple syrup
"750 g lemon juice, freshly squeezed",lemon juice
750 g maraschino liqueur,maraschino liqueur
750 g molasses,molasses
"750 g orange juice, fresh squeezed",orange juice
"750 g orange juice, freshly squeezed",orange juice
750 g prosecco,prosecco
750 g rye whiskey,rye whiskey
750 g sherry,sherry
750 g smoky scotch,scotch
750 g tonic water,tonic water
750 g unfiltered apple cider,apple cider
750 g vodka,vodka
"750 g water, boiling",water
750 g white rum,white rum
750 ml ale,ale
750 ml becherovka,becherovka
750 ml benedictine,benedictine
750 ml blanco tequila,blanco tequila
750 ml cardamom pod,cardamom pod
750 ml cardamom simple syrup,white bell
750 ml citrus vodka,citrus vodka
750 ml coconut seltzer,seltzer
"750 ml cool, filtered water",water water
750 ml dark rum,dark rum
750 ml drinking vinegar,vinegar
750 ml dry curacao,dry curacao
750 ml dubonnet,dubonnet
750 ml elderflower liqueur,elderflower liqueur
750 ml evaporated milk,evaporated milk
750 ml fresh pomegranate juice,pomegranate juice
750 ml freshly squeezed orange juice,orange juice
750 ml ginger beer,ginger beer
750 ml granny smith apple cider,sparkling apple cider
"750 ml grapefruit juice, fresh squeezed",grapefruit juice
750 ml heavy cream,heavy cream
750 ml lemon juice (optional),lemon juice
750 ml lemon simple syrup,poppy simple syrup
750 ml lillet rouge,lillet rouge
750 ml maple syrup,maple syrup
750 ml peated scotch,scotch
"750 ml pineapple juice, freshly squeezed",pineapple juice
750 ml pisco,pisco
750 ml punt e mes,punt e mes
750 ml pureed concord grape,concord grape
750 ml rum,rum
750 ml rye whiskey (optional),rye whiskey
750 ml scotch,scotch
"750 ml simple syrup, preferably made with turbinado sugar",simple syrup
750 ml tequila,tequila
750 ml vodka (optional),vodka
"750 ml water, hot",water
750 ml white vermouth,white vermouth
750 ml yellow chartreuse,yellow bell pepper
750g ale,ale vinegar
750g apple cider,apple cider
750g applejack,applejack
750g bornholmer bitter,bornholmer bitter
750g crushed ice,crushed ice
750g dark rum,dark rum
750g demerara simple syrup,simple simple syrup
750g dry vermouth,dry vermouth
750g freshly squeezed lemon juice,lemon juice
750g gran classico,gran classico
750g grapefruit liqueur,grapefruit liqueur
"750g large lime juice, fresh",lime juice
750g mezcal,mezcal
"750g orange juice, fresh (optional)",orange juice
"750g pineapple juice, freshly squeezed",pineapple juice
750g reposado tequila,reposado tequila
750g rich simple syrup,simple syrup
"750g sparkling wine, chilled",sparkling wine
750g spiced rum,spiced rum
"750g strawberry, sliced (optional)",strawberry
750g strong black coffee,black coffee
750g vermouth,vermouth
750g white balsamic vinegar,white balsamic vinegar
750g white rum,white rum
750g white vermouth,white vermouth
750ml ale,ale vinegar
750ml amaro,amaro
750ml aperol,aperol
750ml apple cider,apple cider
750ml apricot brandy,apricot brandy
750ml beet juice (optional),beet juice
750ml bottle light red wine,red wine juice
750ml bottle rosé wine,wine
750ml brandy,brandy
750ml campari,campari
750ml cardamom pod,cardamom pod
750ml cardamom-infused bourbon,bourbon
750ml coconut water,coconut water
"750ml coffee, hot (optional)",coffee curacao
750ml drinking vinegar,vinegar vinegar
750ml dry vermouth,dry vermouth
750ml elderflower liqueur,elderflower liqueur
750ml falernum,falernum
750ml fresh pomegranate juice,pomegranate juice
750ml freshly squeezed lime juice,lime juice
"750ml ginger beer, room temperature",ginger beer
750ml granulated sugar,granulated sugar
"750ml grapefruit juice, freshly squeezed",grapefruit juice
"750ml hard cider, chilled",hard cider
"750ml lemon juice, freshly squeezed",lemon juice
750ml lillet blanc,lillet blanc
750ml lillet rouge,lillet rouge
"750ml mango, diced",mango
750ml mezcal,mezcal
750ml orange ginger simple syrup,ginger simple syrup
"750ml orange juice, fresh squeezed",orange juice
750ml pomegranate juice,pomegranate juice
750ml prosecco,prosecco
750ml reposado tequila,reposado tequila
750ml rosé wine,wine
750ml rose water,rose water
750ml rye whiskey,rye whiskey stock
750ml rye whiskey (optional),rye whiskey powder
"750ml smoked brewed black tea, such as lapsang souchong",brewed black tea
750ml spiced rum,spiced rum
750ml tonic water,tonic water
750ml water,water
"750ml water, boiling",water
750ml white rum,white rum
750ml white wine,white wine
"750ml/ 1¼pint bottle light red wine , such as Beaujolais",red wine peppers
75ml freshly squeezed lime juice,lime juice
75ml lemonade,nutmeg
75ml spiced rum,spiced rum
8 1/2 oz blanco tequila,blanco tequila
8 1/2 oz simple syrup,simple syrup
8 ajices dulces (see note),nutmeg
"8 cup seedless watermelon, cubed",watermelon
8 dash angostura bitters,angostura bitters
"8 ears of fresh sweet corn, shucked (or 6 cups frozen corn kernels)",corn
"8 edible flowers (such as pansies, rose petals and borage)",sweetened milk milk
8 egg white,egg white
8 egg yolk,egg yolk
"8 garlic cloves, finely grated",garlic tuna
"8 Italian prune plums or 4 regular plums, split in half and pitted",thai chile
8 leaf mint,mint
"8 leaf mint, fresh",mint
8 lemon zest,lemon zest
"8 medium cloves garlic, minced",garlic
"8 medium cloves garlic, sliced thin",garlic
"8 medium shallots, unpeeled, halved lengthwise",shallots
"8 ounces (2 cups) grated part-skim mozzarella, divided",mozzarella
"8 ounces (2 cups) grated part-skim mozzarella, divided (optional)",mozzarella
"8 ounces (225 grams) small cucumbers, washed, unpeeled, chopped small",cucumbers
"8 ounces Baby Bella mushrooms, cleaned and chopped",thai chile
"8 ounces cream cheese, softened",cream cheese
"8 ounces crimini or porcini mushrooms, stemmed and halved",porcini mushrooms
8 ounces dried or fresh soba,ardbeg
"8 ounces extra sharp cheddar cheese (or a mix of cheddar and pepper Jack—see note), grated on large holes of a box grater",tonic
"8 ounces firm tofu, cut into 1-inch cubes",firm tofu
"8 ounces mushrooms, sliced (shiitake, portabello, button, enoki or a variety)",mushrooms
"8 ounces parsnips, grated (about 2 cups)",parsnips
"8 ounces radicchio, quartered, cored, and thinly sliced (about 4 cups)",radicchio
"8 ounces rigatoni, ziti or spaghetti",adobo sauce
8 ounces shirataki or udon noodles,shirataki
8 ounces soba noodles or spaghetti noodles of choice*,narrow bean noodles
8 ounces softened cream cheese,cream cheese
8 oz aged rum,aged rum
8 oz apple cider,apple cider
8 oz blood orange juice,blood orange juice
8 oz cava,cava
8 oz champagne,champagne
8 oz chilled ginger beer,ginger beer
8 oz coconut milk,coconut milk
"8 oz coffee, hot",coffee
8 oz dark rum,dark rum
"8 oz hot, freshly brewed black coffee",black black bass
8 oz ice cube,ice cube
"8 oz pineapple, diced",pineapple
8 oz semisweet chocolate chip,chocolate chip
8 oz sugar,sugar
8 oz unsalted butter,unsalted butter
8 oz water,water
"8 scallions, cut into 2 inch pieces",scallions
8 slices bread,bread
8 slices of bread,cream acid
8 slices sourdough bread,sourdough bread
8 sour cherry,sour cherry
8 sprig fresh mint,mint
8 sprig rosemary,rosemary
8 sprig rosemary (optional),rosemary
8 stick cinnamon,cinnamon
8 tablespoons (1 stick) salted butter,butter
8 tablespoons (1 stick) salted butter (optional),butter
8 tablespoons (4 ounces) unsalted butter,unsalted butter
"8 tablespoons unsalted butter, at room temperature",unsalted butter
"8 tablespoons unsalted butter, cubed",unsalted butter
"8 tbsp butter, room temperature",butter
8 tbsp golden caster sugar,golden back
8 Tbsp Whipped cream cheese,whipped cream
8 to 10 whole lemons,lemons
8 whole wheat hamburger buns (optional),chipotle de adobo adobo
800 g beet juice (optional),beet juice
800 g brut sparkling wine,sparkling wine
800 g cachaca,cachaca
800 g cava (optional),cava
800 g celery juice,celery juice
800 g champagne,champagne
800 g chocolate liqueur,chocolate liqueur
800 g cranberry juice,cranberry juice
800 g drambuie,drambuie
800 g dry curacao,dry vermouth
800 g elderflower liqueur,elderflower liqueur
800 g freshly squeezed grapefruit juice,grapefruit juice
800 g freshly squeezed lemon juice,lemon juice
800 g galliano,galliano
800 g grand marnier,grand marnier
800 g granulated sugar,granulated sugar
"800 g hot, freshly brewed black coffee",black sea bass
"800 g lemon, fresh",lemon
"800 g lemon, freshly squeezed",lemon
"800 g mango, diced",mango
800 g maraschino liqueur (optional),maraschino liqueur
800 g pear brandy,pear brandy
800 g port,port
800 g rich simple syrup,simple syrup
800 g rosemary simple syrup,simple syrup
800 g rum,rum
800 g simple syrup,simple syrup
"800 g tangerine juice, freshly squeezed",tangerine juice
800 g tonic water,tonic water
800 g vermouth,vermouth
800 g water,water
"800 g water, boiling",water
800 ml apple brandy,apple brandy
800 ml aquavit,aquavit
800 ml blanco tequila,blanco tequila
800 ml cherry simple syrup,ginger simple syrup
800 ml demerara simple syrup,simple simple syrup
"800 ml dry lambrusco, chilled",citrus
800 ml dry sherry,dry sherry
"800 ml dry vermouth, chilled",dry vermouth
800 ml elderflower liqueur,elderflower liqueur
"800 ml ginger juice, fresh",ginger juice
"800 ml grapefruit juice, freshly squeezed",grapefruit juice
800 ml honey syrup,honey syrup
800 ml irish whiskey,whiskey whiskey
"800 ml lemon juice, fresh (optional)",lemon juice
800 ml lillet blanc,lillet blanc
800 ml lillet blonde,lillet blonde
800 ml maraschino liqueur,maraschino liqueur
800 ml mezcal,mezcal
800 ml orgeat,orgeat
800 ml pisco,pisco
800 ml pomegranate molasses,pomegranate molasses
800 ml rose water,rose water
800 ml rosemary simple syrup,simple syrup
800 ml simple syrup,simple syrup
800 ml unfiltered apple cider,apple cider
800 ml unsweetened pomegranate juice,pomegranate juice
800 ml vodka,vodka
"800 ml water, boiling",water
800 ml whiskey,whiskey
800g apple brandy,apple brandy
800g blanco tequila,blanco tequila
800g brewed chamomile tea,brewed chamomile tea
800g campari,campari
800g cardamom simple syrup,chamomile tea
"800g champagne, approximately",champagne
800g cointreau,cointreau
800g elderflower liqueur,elderflower liqueur
800g grand marnier,grand marnier
800g grapefruit liqueur,grapefruit liqueur
800g hard cider,hard cider
"800g hot, freshly brewed black coffee",black black bass
800g ice cube,ice cube
"800g kale juice, fresh",kale juice
"800g lemon juice, fresh",lemon juice
800g lillet blonde,lillet blonde
"800g lime, fresh",lime
800g mint simple syrup,simple syrup
"800g orange juice, freshly squeezed",orange juice
800g rye whiskey,rye whiskey stock
800g sage simple syrup,simple syrup
800g seltzer,seltzer
"800g seltzer, chilled",seltzer
800g sparkling wine,sparkling wine
800g sweet vermouth,sweet vermouth
800g unfiltered apple cider,apple cider
800g vodka (optional),vodka
"800g water, boiling",water
800g yellow chartreuse,yellow bell pepper
800ml aged rum,aged rum
800ml amaretto,amaretto
800ml angostura bitters,angostura bitters
800ml aperol,aperol
800ml averna,averna
800ml becherovka,becherovka
800ml cherry heering,cherry heering
800ml coconut seltzer,peppercorn
800ml elderflower liqueur,elderflower liqueur
800ml genever,genever
800ml gin,gin
800ml ginger juice,ginger juice
800ml granulated sugar,granulated sugar
800ml ice cube,ice cube
800ml ice cube (optional),ice cube
"800ml kale juice, fresh",kale juice
800ml lillet rouge,lillet rouge
800ml maple syrup,maple syrup
800ml mezcal,mezcal
800ml orange curacao,orange curacao
"800ml orange juice, freshly squeezed",orange juice
800ml pimms,pimms
800ml pineapple juice,pineapple juice
"800ml pink grapefruit juice, fresh",pink grapefruit juice
800ml pisco,pisco
800ml port,port
800ml reposado tequila,reposado tequila
800ml rose water,rose water
800ml rum,rum
"800ml seltzer, chilled",seltzer
800ml sherry,sherry
"800ml tangerine juice, freshly squeezed",tangerine juice
800ml tequila,tequila
800ml vermouth,vermouth
800ml vodka,vodka
"800ml water, boiling",water
800ml whipped cream,whipped cream
850 g absinthe,absinthe
850 g apple cider,apple cider
850 g apricot liqueur,apricot liqueur
850 g averna,averna
850 g basil simple syrup,simple syrup
850 g blanco tequila,blanco tequila
850 g brandy,brandy
850 g celery juice,celery juice
"850 g champagne, approximately",champagne
850 g cherry heering,cherry heering
850 g cocchi americano,cocchi americano
850 g cranberry juice,cranberry juice
850 g curacao,curacao
850 g elderflower liqueur,elderflower liqueur
850 g ginger juice,ginger juice
850 g ice cube (optional),ice cube
850 g irish whiskey,whiskey whiskey
850 g Jameson whiskey,whiskey whiskey
"850 g lemon juice, fresh",lemon juice
"850 g lime juice, fresh",lime juice
850 g peach liqueur,peach liqueur
850 g pisco,pisco
850 g simple syrup,simple syrup
"850 g sparkling wine, chilled",sparkling wine
850 g strong black coffee,black coffee
850 g tawny port,port
850 g tequila,tequila
850 g vodka,vodka
850 g water,water
"850 g water, boiling",water
850 g white rum,white rum
850 ml ale,ale
850 ml angostura bitters,angostura bitters
850 ml beet juice,beet juice
850 ml beet juice (optional),beet juice
850 ml benedictine,benedictine
850 ml brandy,brandy
850 ml champagne,champagne
"850 ml champagne, approximately",champagne
850 ml chicory-infused rye whiskey,rye whiskey powder
850 ml coconut seltzer,yuzu
850 ml cold water,water
850 ml cynar,cynar
850 ml dubonnet,dubonnet
850 ml freshly squeezed orange juice (optional),orange juice
850 ml gran classico,gran classico
850 ml granulated sugar,granulated sugar
850 ml green chartreuse,green chartreuse
850 ml lavender simple syrup,simple syrup
"850 ml lemon juice, fresh (optional)",lemon juice
"850 ml lemon juice, freshly squeezed",lemon juice
"850 ml lime, fresh",lime
850 ml molasses,molasses
"850 ml orange juice, fresh squeezed",orange juice
850 ml peach liqueur,peach liqueur
850 ml pine liqueur,pine liqueur
850 ml pineapple juice,pineapple juice
850 ml pisco,pisco
850 ml red wine,red wine
850 ml sparkling wine,sparkling wine
"850 ml strawberry, sliced (optional)",strawberry
850 ml water,water
"850 ml water, boiling",water
850 ml white vermouth,white vermouth
850g aged rum,aged rum
850g amaro (optional),amaro
850g beet juice (optional),beet juice
850g cachaca,cachaca
"850g celery, sliced",celery
850g coffee,coffee filters
850g cointreau,cointreau
850g demerara simple syrup,simple simple syrup
850g drambuie,drambuie
850g drinking vinegar,vinegar vinegar
850g elderflower liqueur,elderflower liqueur
850g freshly squeezed lime juice,lime juice
850g freshly squeezed orange juice,orange juice
"850g ginger beer, room temperature",ginger beer
"850g ginger, peeled",ginger
"850g hot, freshly brewed black coffee",black black bass
850g lemon simple syrup,poppy simple syrup
850g lillet blanc,lillet blanc
850g lillet rouge,lillet rouge
850g mezcal,mezcal
850g port,port
850g rosemary simple syrup,simple syrup
850g rye whiskey,rye whiskey stock
850g single-malt scotch,scotch
850g smoky scotch,scotch
"850g sweet sparkling wine, chilled",sparkling wine
"850g water, hot (optional)",water
850g white vermouth,white vermouth
850ml allspice bitters,peychauds bitters
850ml amaretto,amaretto
850ml apple brandy,apple brandy
850ml becherovka,becherovka
850ml bourbon,bourbon
850ml campari,campari
850ml cardamom pod,cardamom pod
"850ml cava, chilled (optional)",cava
850ml chilled champagne,champagne
850ml coffee,coffee filters
850ml cold water,water
850ml creme de cacao,creme de cacao
850ml cynar,cynar
850ml gran classico,gran classico
850ml grand marnier,grand marnier
"850ml kale juice, fresh",kale juice
"850ml mango, diced",mango
850ml old tom gin,old tom gin
850ml orange ginger simple syrup,ginger simple syrup
850ml pear brandy,pear brandy
850ml pimms,pimms
850ml pine liqueur,pine liqueur
"850ml pineapple juice, freshly squeezed",pineapple juice
"850ml pink grapefruit juice, freshly squeezed",pink grapefruit juice
850ml pisco,pisco
850ml rosemary simple syrup,simple syrup
850ml scotch,scotch
"850ml seltzer, chilled",seltzer
850ml simple syrup,simple syrup
"850ml strawberry, sliced",strawberry
850ml tequila,tequila
850ml tonic water,tonic water
850ml vermouth,vermouth
850ml white rum,white rum
850ml whole milk,whole milk
